Model,RMSE_log,RMSE_original,MAE_log,MAE_original,R2,Adj_R2,N_vars,N,N_valid,Pct_valid,CV_RMSE_log,CV_R2,Overfit_RMSE_log,Overfit_R2
M1: Structural,0.6862951814853838,172980.88805743234,0.4860258526472202,113702.54927314428,0.34420250074725517,0.34406597297541597,5,24023,23693,98.62631644673854,0.6862188365275322,0.3445140183780909,-7.63449578515818e-5,-3.115176308357559e-4
M2: +Census,0.591650398354587,137239.1078015442,0.37762965927156117,84251.13950663495,0.5126082436135311,0.5124458744101043,8,24023,23713,98.70956999542105,0.5915616184398517,0.5127920145093852,-8.877991473532632e-5,-1.8377089585408513e-4
M3: +Spatial,0.5870203535220975,135990.7459972643,0.3714017913082919,82773.39331568817,0.5202067032359522,0.5199868987186724,11,24023,23714,98.71373267285519,0.5869203555836783,0.5203969430059843,-9.999793841919402e-5,-1.902397700320746e-4
M4: +Interact+FE,0.5560509054074841,121478.6913806855,0.3379859877984465,73179.57938031618,0.5694962276924798,0.5669362806377198,142,24023,23726,98.76368480206469,0.5593203601661856,0.5644334497697803,0.00326945475870144,0.005062777922699491
