x_coord,y_coord,sale_price,predicted,residual,residual_type
2672174.72216989,245084.79846829,10.20121896084091,11.890707666367362,1.6894887055264523,Overpredicted
2694025.16993873,250803.84247638,10.12667110305036,11.440605980166282,1.3139348771159227,Overpredicted
2702078.78375272,263267.36479338,15.01860327512709,11.617871498886213,-3.4007317762408764,Underpredicted
2689643.35324307,226480.20936522,13.34550852871726,12.07128828899574,-1.2742202397215205,Underpredicted
2672769.48279139,239713.26590429,15.444751293772969,11.717244938554487,-3.727506355218482,Underpredicted
2671930.2187219,241611.78474505,15.444751293772969,11.838694631373684,-3.6060566623992845,Underpredicted
2693940.23966239,248900.00638905,10.23462415135353,11.525290770214893,1.290666618861362,Overpredicted
2699426.02331023,265261.3053593,9.210440366976515,11.893009677579117,2.6825693106026023,Overpredicted
2680385.57287414,242265.03573513,10.564653749740897,11.900029901488606,1.3353761517477096,Overpredicted
2694761.16977906,253831.11594938,9.648659816955297,11.236839105548206,1.5881792885929098,Overpredicted
2674830.63122815,268290.85113746,11.264476926102368,12.582021470325966,1.3175445442235976,Overpredicted
2707306.04659215,247550.73776214,10.308985993422082,12.285978701140133,1.9769927077180505,Overpredicted
2709920.85369848,253864.84422839,10.165890277802454,11.485913845409522,1.320023567607068,Overpredicted
2700189.21043214,258378.09701288,13.618200431681036,11.79384880896475,-1.8243516227162857,Underpredicted
2708265.54336081,256269.80726622,10.714439990727769,11.928782280757536,1.2143422900297676,Overpredicted
2689255.3710794,251411.1027448,9.210440366976515,11.299194161525204,2.0887537945486887,Overpredicted
2696677.62952881,252270.21093471,9.210440366976515,11.188586193634881,1.9781458266583662,Overpredicted
2693767.54151697,249520.56420305,15.048726872113876,11.46463793576319,-3.584088936350687,Underpredicted
2703833.99316882,268703.9500488,9.908524844053396,11.72830396413682,1.8197791200834246,Overpredicted
2699544.05555448,253782.2476088,9.210440366976515,11.283907673324638,2.073467306348123,Overpredicted
2712202.40655006,255412.48549005,15.01860327512709,11.912417172633397,-3.1061861024936928,Underpredicted
2689442.46716189,252401.19262813,9.61587214452889,11.00435466020329,1.3884825156744007,Overpredicted
2692755.53402656,263839.73733629,14.420919370067592,11.881187129526985,-2.539732240540607,Underpredicted
2703313.9807574,268090.83841413,9.770013301136158,11.780136619796123,2.0101233186599643,Overpredicted
2702226.76705256,255037.31957372,12.84703666220191,11.417999393002715,-1.4290372691991955,Underpredicted
2695461.28976989,261795.24995546,13.45883704259595,11.495487395115422,-1.9633496474805288,Underpredicted
2675173.71879657,239261.48957688,10.5713425658087,11.779667777569752,1.2083252117610517,Overpredicted
2691227.71195097,262663.23673655,10.203629181337648,11.77374914424125,1.5701199629036022,Overpredicted
2685617.39541572,258256.37415922,11.187209175200516,12.47561885086398,1.2884096756634627,Overpredicted
2695365.76141764,260127.93865755,9.90353755128617,11.319343900676225,1.4158063493900546,Overpredicted
2687438.57943739,249195.51957755,10.915106645867503,12.158548528578276,1.2434418827107727,Overpredicted
2706340.74996631,261960.08558381,9.305741456739437,11.801296061858507,2.49555460511907,Overpredicted
2674631.74907997,238459.01939705,10.882584055202674,12.063447124882,1.1808630696793259,Overpredicted
2713418.07537857,258730.29315889,10.59665973278358,11.807146963519127,1.2104872307355468,Overpredicted
2693825.3324119,250865.58185421,10.203629181337648,11.4528682603274,1.249239078989751,Overpredicted
2674527.59476073,239722.57100379,10.308985993422082,11.694252996784693,1.3852670033626104,Overpredicted
2696189.83424456,226784.23894088,11.350418300109132,12.850488142630043,1.5000698425209116,Overpredicted
2692339.46563298,234801.21601713,14.437215978097797,13.213249511799903,-1.2239664662978935,Underpredicted
2675177.63972048,228081.98732963,12.9137586237112,11.634548794642626,-1.2792098290685736,Underpredicted
2674758.24292147,246393.24401413,10.59665973278358,11.902654538342006,1.3059948055584254,Overpredicted
2715630.75960147,260334.30241805,9.90353755128617,11.57508609746133,1.6715485461751598,Overpredicted
2693580.33618273,247120.37280922,15.516232738904357,12.48234627703794,-3.033886461866416,Underpredicted
2696424.15595439,261627.76702271,13.590864628645196,11.467775545947203,-2.1230890826979927,Underpredicted
2670023.21827081,241361.78786972,10.518700218288163,11.689811922887653,1.1711117045994897,Overpredicted
2694766.73636898,228646.99899489,9.798182590890704,12.84298727168169,3.0448046807909854,Overpredicted
2693589.27645355,247184.45306163,15.516232738904357,12.537710176937557,-2.9785225619668,Underpredicted
2673935.80985506,239402.36003006,10.463131911491969,11.60924973406878,1.1461178225768105,Overpredicted
2697528.23511106,256373.48947355,14.45736497045232,11.542225295895822,-2.9151396745564977,Underpredicted
2672996.76875414,226590.85415705,14.076500031686043,11.56733494243665,-2.509165089249393,Underpredicted
2690588.88514465,228642.50326897,10.817796321618973,12.43067074286712,1.6128744212481472,Overpredicted
2702567.71781422,252314.79385079,12.95141134195595,10.913563947728186,-2.0378473942277644,Underpredicted
2713523.04728147,258861.73843405,9.99884318585288,11.800250111360382,1.8014069255075018,Overpredicted
2693318.37378015,250904.9679303,10.434145214930489,11.61664679064776,1.1825015757172714,Overpredicted
2690638.59009773,250525.37682596,10.12667110305036,11.467350843591165,1.3406797405408053,Overpredicted
2685248.27771564,226747.84137589,10.59665973278358,11.94749784071013,1.350838107926549,Overpredicted
2692151.69107415,249044.90997063,15.01860327512709,11.479632910785728,-3.5389703643413615,Underpredicted
2694129.63331248,248881.6117408,9.210440366976515,11.388895605379142,2.178455238402627,Overpredicted
2671080.59148414,239632.19880922,13.30474659896364,12.014005069753336,-1.2907415292103028,Underpredicted
